driver_id,driver_name,vehicle_type,city,rating,status
D00001,Jacqueline Coleman,Sedan,Singapore,4.33,Active
D00002,Justin Lane,Sedan,Toa Payoh,4.15,Active
D00003,Steven Hamilton PhD,Suv,Jurong,4.95,Active
D00004,Jason Robinson,Sedan,Tampines,3.74,Active
D00005,Natasha Anderson,Premium,Jurong,4.79,Active
D00006,Wayne Miller Jr.,Premium,Bishan,4.09,Active
D00007,Adam King,Mpv,Bedok,4.81,Active
D00008,Leslie Dennis,Sedan,Punggol,4.28,Active
D00009,Ronald Ellis,Suv,Bishan,3.94,Active
D00010,Tyler Johnston,Electric,Tampines,4.9,Active
D00011,Mark Mitchell,Suv,Woodlands,3.8,Active
D00012,Mark Larson,Suv,Bedok,4.75,Suspended
D00013,Lisa White,Premium,Yishun,3.93,Active
D00014,Arthur Brown,Premium,Woodlands,4.75,Active
D00015,Melanie Warner,Premium,Bishan,4.48,Inactive
D00016,Mr. Marcus Cook,Suv,Punggol,3.74,Inactive
D00017,Anthony Branch,Mpv,Bedok,4.26,Inactive
D00018,Austin Lee,Premium,Yishun,4.7,Active
D00019,Daniel Miller,Hatchback,Woodlands,3.68,Active
D00020,Lisa Johnson,Hatchback,Jurong,4.34,Active
D00021,Brenda Bowen,Premium,Punggol,4.64,Active
D00022,Daniel Wright,Premium,Jurong,3.97,Inactive
D00023,Michele Mitchell,Electric,Toa Payoh,4.94,Active
D00024,Christopher Barry,Suv,Toa Payoh,3.78,Active
D00025,Krista Boyd,Suv,Woodlands,3.52,Active
D00026,David Williams,Hatchback,Jurong,4.07,Inactive
D00027,Anna Chang,Premium,Singapore,4.92,Active
D00028,Dorothy Wood,Sedan,Jurong,4.68,Active
D00029,Erin Newman,Electric,Punggol,4.63,Active
D00030,Laura Murphy,Electric,Woodlands,4.53,Active
D00031,Cindy Carson,Hatchback,Bishan,4.91,Inactive
D00032,Matthew Brooks,Sedan,Bedok,3.64,Active
D00033,Katherine Barajas,Hatchback,Bishan,4.4,Active
D00034,Andrew Rivera,Suv,Tampines,4.01,Active
D00035,Eric Kelly,Hatchback,Woodlands,3.77,Inactive
D00036,Mr. Jeffrey Martin,Hatchback,Yishun,3.93,Active
D00037,Kevin Fox,Electric,Jurong,4.91,Inactive
D00038,Mrs. Janet Baker,Electric,Yishun,4.76,Active
D00039,Amber Cochran,Hatchback,Bedok,4.14,Active
D00040,Heather Brown,Electric,Toa Payoh,3.76,Active
D00041,Nicholas Cooke,Mpv,Yishun,4.42,Active
D00042,Ashley Pearson,Hatchback,Jurong,4.94,Active
D00043,Kelly Kim,Mpv,Toa Payoh,4.65,Active
D00044,Jack Kane,Hatchback,Woodlands,4.76,Active
D00045,Lisa Rodgers,Hatchback,Yishun,4.9,Active
D00046,Donna Barnes,Electric,Ang Mo Kio,3.53,Active
D00047,Jacqueline Mayo,Sedan,Woodlands,4.28,Active
D00048,Jennifer Pollard,Sedan,Tampines,4.09,Active
D00049,Donald Brady,Hatchback,Woodlands,4.25,Active
D00050,David Ryan,Premium,Tampines,4.41,Active
D00051,Phillip Watson,Hatchback,Bedok,4.57,Active
D00052,Daniel Cunningham,Suv,Punggol,4.1,Active
D00053,Donald Scott,Premium,Woodlands,4.3,Active
D00054,Joshua Gonzalez,Sedan,Yishun,4.13,Active
D00055,Charles Brown,Electric,Ang Mo Kio,3.66,Active
D00056,Kyle Hester,Premium,Tampines,3.81,Active
D00057,Kelly Combs,Electric,Toa Payoh,4.51,Active
D00058,George Mitchell,Mpv,Ang Mo Kio,4.95,Active
D00059,Steven Nguyen,Sedan,Tampines,4.24,Active
D00060,Beth Watts,Hatchback,Toa Payoh,4.11,Inactive
D00061,Michele Strickland,Electric,Punggol,4.56,Active
D00062,Jorge Powers,Sedan,Tampines,4.92,Active
D00063,Katelyn Farmer,Mpv,Tampines,4.1,Inactive
D00064,David Stewart,Hatchback,Punggol,4.83,Active
D00065,Jerry Pitts,Sedan,Jurong,4.46,Active
D00066,Caitlin Gordon,Premium,Ang Mo Kio,3.53,Active
D00067,Shelly Sullivan,Hatchback,Tampines,4.08,Active
D00068,Ashley Armstrong,Hatchback,Punggol,3.5,Active
D00069,Christopher Evans,Mpv,Woodlands,4.24,Active
D00070,Rebecca Roy,Suv,Toa Payoh,4.92,Active
D00071,Sarah Buck,Hatchback,Yishun,3.63,Active
D00072,Jerry Martin,Mpv,Bishan,4.92,Inactive
D00073,Gary Delgado,Electric,Bedok,4.48,Active
D00074,James Ross,Premium,Yishun,3.82,Active
D00075,Robert Martin,Electric,Woodlands,3.73,Active
D00076,Martin Russo,Sedan,Singapore,4.49,Active
D00077,Sharon Hudson,Mpv,Ang Mo Kio,4.18,Active
D00078,Justin Garcia,Suv,Bishan,4.79,Active
D00079,David Cooper,Sedan,Bishan,4.45,Active
D00080,Isabel Johnson,Mpv,Ang Mo Kio,3.51,Active
D00081,Cassandra Hill,Electric,Tampines,3.99,Active
D00082,Matthew Romero,Sedan,Singapore,3.86,Active
D00083,Adam Schroeder,Electric,Tampines,4.53,Active
D00084,Stephanie Cox,Sedan,Bedok,4.65,Active
D00085,Carol Morse,Sedan,Singapore,3.65,Active
D00086,Jessica Harper,Mpv,Jurong,4.72,Active
D00087,Matthew Allen,Sedan,Woodlands,4.65,Active
D00088,Tim Phillips,Mpv,Jurong,4.56,Active
D00089,Don Moran,Mpv,Ang Mo Kio,4.59,Active
