customer_id,first_name,last_name,gender,age,city,membership,signup_date,is_active
C000001,Barry,Potter,Male,42,Ang Mo Kio,SILVER,2023-08-23,false
C000002,Pamela,Moran,Female,61,Woodlands,PLATINUM,2024-07-09,false
C000004,Thomas,Mcdaniel,Female,43,Punggol,PLATINUM,2025-04-06,true
C000010,Samantha,Murphy,Female,40,Ang Mo Kio,PLATINUM,2023-06-21,false
C000012,Jacqueline,Johnson,Male,27,Yishun,STANDARD,2025-04-26,true
C000013,Rebecca,Jackson,Female,27,Ang Mo Kio,STANDARD,2025-01-13,true
C000015,Savannah,Miller,Male,67,Singapore,GOLD,2022-11-25,true
C000017,Robert,Jackson,Female,23,Ang Mo Kio,STANDARD,2025-03-05,true
C000018,Steven,Vasquez,Female,53,Ang Mo Kio,SILVER,2025-05-20,true
C000019,Amanda,Barber,Female,36,Woodlands,PLATINUM,2023-10-23,false
C000020,Cheryl,Adams,Male,20,Jurong,PLATINUM,2022-10-25,true
C000021,Melissa,Hines,Male,27,Ang Mo Kio,PLATINUM,2025-09-06,false
C000024,James,Berger,Female,45,Bishan,PLATINUM,2023-04-02,true
C000025,Michelle,Smith,Female,38,Bishan,GOLD,2021-08-17,true
C000026,Krystal,Webb,Male,34,Bishan,GOLD,2026-05-19,true
C000028,Judy,Miller,Male,62,Bedok,GOLD,2024-11-19,true
C000029,Laura,Wagner,Male,58,Singapore,PLATINUM,2023-09-13,false
C000030,Bryan,Nelson,Female,24,Punggol,SILVER,2025-04-23,true
C000031,Megan,Phillips,Female,34,Yishun,GOLD,2023-11-14,false
C000034,Benjamin,Mcguire,Male,55,Bedok,GOLD,2025-10-17,true
C000036,Mark,Jones,Female,41,Tampines,GOLD,2022-04-21,false
C000039,Deanna,Fisher,Male,29,Singapore,GOLD,2023-12-17,false
C000040,Jeffrey,Diaz,Female,46,Bishan,STANDARD,2021-08-16,true
C000042,Jennifer,Snow,Male,36,Tampines,SILVER,2022-01-23,true
C000045,Paige,Castro,Female,33,Woodlands,GOLD,2025-08-29,true
C000046,Michael,Norton,Male,19,Yishun,SILVER,2025-12-19,false
C000047,Heidi,Hunt,Male,47,Punggol,STANDARD,2023-09-19,false
C000048,Debra,Gibbs,Male,65,Jurong,STANDARD,2023-11-05,true
C000049,William,Mccormick,Female,19,Yishun,STANDARD,2024-02-11,true
C000051,Michele,Arias,Male,36,Tampines,GOLD,2022-01-15,false
