driver_id,driver_name,vehicle_type,city,rating,status
D00001,Alison Miles,Hatchback,Singapore,4.75,Active
D00002,Tracey Carter,Sedan,Jurong,4.94,Active
D00003,Robert Myers,Electric,Bishan,4.23,Active
D00004,Amy Dennis,Premium,Toa Payoh,4.1,Suspended
D00005,Douglas Miller,Electric,Ang Mo Kio,4.04,Active
D00006,Michael Bradley,SUV,Tampines,4.02,Inactive
D00007,Robert York,SUV,Singapore,3.74,Active
D00008,Kelsey White,MPV,Jurong,4.84,Active
D00009,Joel Wright,Premium,Bishan,3.8,Active
D00010,Rachel Smith,Sedan,Punggol,4.02,Active
D00011,Calvin Howard,MPV,Yishun,4.1,Active
D00012,Thomas Parker,SUV,Tampines,4.83,Inactive
D00013,Sandra Adkins,Hatchback,Bedok,3.54,Active
D00014,Amanda Padilla,Sedan,Punggol,3.85,Active
D00015,David Richards,MPV,Yishun,3.58,Active
D00016,Lisa David,Hatchback,Ang Mo Kio,4.36,Active
D00017,Darrell Trujillo,Electric,Bedok,3.65,Active
D00018,Daniel Matthews,Electric,Bedok,4.28,Active
D00019,Rebecca Hernandez,Sedan,Bishan,4.9,Active
D00020,Cheyenne Levy,Electric,Punggol,4.08,Active
D00021,Timothy Hall,SUV,Yishun,3.81,Inactive
D00022,Deborah Rowe,Electric,Jurong,4.92,Active
D00023,Kimberly Henderson,Premium,Punggol,5.0,Active
D00024,Rebecca Allen,MPV,Singapore,4.53,Active
D00025,Micheal White,SUV,Toa Payoh,4.34,Suspended
D00026,Michael Gonzales,Premium,Ang Mo Kio,4.66,Active
D00027,Timothy Olson,MPV,Yishun,3.67,Active
D00028,Charles Ramirez,SUV,Punggol,3.53,Active
D00029,Jessica Horne,SUV,Woodlands,4.47,Active
D00030,Sophia Johnson,Premium,Punggol,4.93,Active
D00031,Michelle Ruiz,Electric,Yishun,4.28,Active
D00032,Carolyn Cook,SUV,Bishan,4.7,Active
D00033,Lauren Blake,Sedan,Woodlands,3.65,Active
D00034,Erica Smith,Sedan,Singapore,3.85,Active
D00035,Justin Barker,SUV,Toa Payoh,4.16,Active
D00036,Joshua Mills,Sedan,Toa Payoh,3.82,Active
D00037,Stacy Evans,Premium,Toa Payoh,3.73,Active
D00038,Kevin Guerrero,Hatchback,Toa Payoh,3.8,Active
D00039,Timothy Brock,Hatchback,Singapore,4.81,Active
D00040,Sandra Jimenez,Sedan,Bedok,4.1,Active
D00041,Rebekah Hubbard,Electric,Toa Payoh,4.24,Active
D00042,Cheryl Contreras,Premium,Woodlands,4.86,Active
D00043,Brandon Thornton,Hatchback,Woodlands,4.6,Active
D00044,Luis Thompson,Hatchback,Ang Mo Kio,4.74,Active
D00045,Zachary Jenkins,Premium,Singapore,3.62,Active
D00046,John Reese,Hatchback,Singapore,4.84,Active
D00047,Jasmine Andrews,Electric,Jurong,4.84,Suspended
D00048,Martin Lewis,Hatchback,Tampines,4.75,Active
D00049,Kayla Wright,Hatchback,Singapore,4.35,Active
D00050,Brittany Rodriguez,MPV,Singapore,4.93,Active
D00051,Darren Evans,Hatchback,Bishan,4.11,Active
D00052,Carrie Beck,Electric,Jurong,4.66,Active
D00053,Juan Mccarthy,Electric,Bedok,4.52,Active
D00054,Donald Daniels,SUV,Jurong,3.62,Active
D00055,Kathleen Walker,Electric,Woodlands,4.22,Active
D00056,Sean Blankenship,MPV,Ang Mo Kio,4.06,Active
D00057,Luke Yates,MPV,Ang Mo Kio,4.23,Active
D00058,Amanda Duke,Sedan,Bishan,4.42,Active
D00059,Tamara Carrillo,Hatchback,Ang Mo Kio,4.56,Inactive
D00060,Tracy Douglas,Sedan,Jurong,3.72,Active
D00061,Madison Jackson,MPV,Bedok,4.48,Active
D00062,Judith Pearson,MPV,Woodlands,4.09,Active
D00063,Keith Wagner,Electric,Yishun,4.11,Inactive
D00064,Elizabeth Rodriguez,Electric,Punggol,4.12,Inactive
D00065,James Matthews,Hatchback,Singapore,4.58,Active
D00066,Amanda Jimenez,SUV,Singapore,3.92,Inactive
D00067,Steven Hill,Electric,Singapore,4.76,Active
D00068,Brittney Lloyd,Electric,Yishun,3.58,Active
D00069,Emily Morales,Premium,Tampines,3.82,Active
D00070,Sarah Brown,Premium,Punggol,3.81,Active
D00071,Emma Schultz,SUV,Tampines,4.6,Active
D00072,Johnny Benson,MPV,Toa Payoh,4.65,Active
D00073,Michael Carroll,Hatchback,Punggol,3.68,Active
D00074,Jason Bradley,Premium,Toa Payoh,3.82,Active
D00075,James Davis,Electric,Yishun,4.86,Active
D00076,Bradley Elliott,Sedan,Bedok,3.73,Active
D00077,Jenna Baker,Premium,Yishun,3.82,Active
D00078,Todd Archer,Premium,Yishun,3.95,Active
D00079,Terry Sullivan,MPV,Woodlands,4.62,Active
D00080,Kathleen Bauer,Hatchback,Yishun,4.18,Active
D00081,Theresa Livingston,Electric,Yishun,4.46,Active
D00082,Jane Stanton,Sedan,Punggol,4.59,Active
D00083,Edward Wagner,Sedan,Bedok,4.69,Active
D00084,Meagan Cordova,Premium,Toa Payoh,3.66,Active
D00085,Sarah Wallace,MPV,Singapore,4.68,Active
D00086,Nicholas Rivera,Sedan,Ang Mo Kio,4.74,Active
D00087,Nicole Bishop,Sedan,Tampines,4.4,Active
D00088,Jacqueline Thomas,Sedan,Singapore,3.71,Active
D00089,James Lozano,Hatchback,Tampines,3.87,Active
D00090,Adam Day Jr.,MPV,Bishan,3.65,Inactive
D00091,Karen Jacobs,Hatchback,Bedok,4.6,Active
D00092,Eric Graves,Electric,Woodlands,4.27,Active
D00093,Julie Peters,Premium,Yishun,3.81,Active
D00094,Jennifer Oneill MD,MPV,Jurong,4.49,Active
D00095,Edward Owen,Premium,Woodlands,4.74,Inactive
D00096,Cynthia Potts,SUV,Bedok,3.55,Active
D00097,Lawrence Doyle,Hatchback,Singapore,4.13,Active
D00098,Zachary Williams,Hatchback,Punggol,4.57,Active
D00099,Ashley Lynch,Electric,Bishan,4.07,Active
D00100,Kristen Norton,Sedan,Singapore,4.97,Active
D00101,Michael Garrett,Sedan,Toa Payoh,4.03,Active
D00102,Amanda Scott,MPV,Ang Mo Kio,4.01,Active
D00103,Kylie Jones,Premium,Punggol,3.71,Inactive
D00104,Jacqueline Jenkins,Sedan,Toa Payoh,3.74,Active
D00105,Darrell Smith,Hatchback,Toa Payoh,3.97,Active
D00106,Amy Weiss,Hatchback,Bishan,4.03,Active
D00107,Lydia Duffy,Electric,Toa Payoh,3.67,Active
D00108,Robert Bush,Sedan,Jurong,4.09,Active
D00109,Carol Parks,MPV,Bedok,4.14,Active
D00110,Sandra Dunn,Sedan,Woodlands,4.26,Active
D00111,Joshua Rose,MPV,Woodlands,4.15,Active
D00112,Linda Hawkins,MPV,Tampines,4.46,Active
D00113,Carol Bartlett,Electric,Tampines,4.92,Active
D00114,Melissa Mason,Electric,Yishun,3.99,Active
D00115,Tamara Thornton,Premium,Jurong,3.88,Inactive
D00116,Dustin Coleman,Sedan,Bishan,3.63,Active
D00117,Sarah Tate,SUV,Yishun,3.98,Active
D00118,Ann Hernandez,MPV,Jurong,4.3,Active
D00119,Dawn Bender,Sedan,Bedok,4.94,Active
D00120,Walter Graves,Premium,Bedok,4.14,Active
D00121,Michael Travis,Hatchback,Punggol,4.6,Active
D00122,Michele Ortega,Electric,Singapore,3.5,Active
D00123,Michele Osborne,MPV,Jurong,4.85,Active
D00124,Stacey Gonzalez,Premium,Ang Mo Kio,5.0,Active
D00125,Ronald Jensen,MPV,Bedok,3.89,Active
D00126,Scott Harding,Electric,Woodlands,3.87,Active
D00127,Tonya Murphy,SUV,Ang Mo Kio,4.02,Active
D00128,Laura Garrett,Sedan,Punggol,4.19,Active
D00129,Steve Myers,Hatchback,Yishun,3.95,Active
D00130,Jill Jones,SUV,Bishan,4.37,Active
D00131,Paul Mathews,MPV,Ang Mo Kio,3.84,Active
D00132,Becky Russell,Hatchback,Tampines,4.02,Active
D00133,Thomas Brewer,SUV,Yishun,4.5,Active
D00134,James Howard,Hatchback,Jurong,4.8,Active
D00135,David Booth,Sedan,Ang Mo Kio,3.53,Active
D00136,Joseph Patterson,MPV,Singapore,4.3,Active
D00137,Scott Barnes,Sedan,Yishun,4.27,Active
D00138,Jorge Mcdonald,Premium,Ang Mo Kio,4.74,Suspended
D00139,Thomas Romero,Sedan,Toa Payoh,4.13,Active
D00140,Ryan Matthews,SUV,Singapore,3.79,Active
D00141,Wayne Johnson,Electric,Punggol,3.66,Active
D00142,Jamie Hicks,Premium,Tampines,4.16,Active
D00143,Michelle Burgess,Hatchback,Punggol,4.41,Active
D00144,Alicia Haas,MPV,Woodlands,4.19,Active
D00145,Ashley Blevins,Electric,Singapore,4.33,Active
D00146,Joanna Ramirez MD,SUV,Jurong,4.56,Active
D00147,John Smith,MPV,Bedok,3.98,Active
D00148,Kelly Taylor,SUV,Toa Payoh,4.46,Inactive
D00149,Paul Ferguson,Electric,Singapore,4.13,Active
D00150,Jessica Thornton,Premium,Toa Payoh,3.94,Active
D00151,Julie Evans,Sedan,Bishan,4.13,Inactive
D00152,Kenneth West,Hatchback,Bedok,4.38,Active
D00153,Sharon Carter,Electric,Woodlands,4.45,Active
D00154,Rhonda Lee,Electric,Woodlands,4.46,Active
D00155,Julia Trujillo,Electric,Tampines,4.72,Active
D00156,Amanda Richard,Sedan,Ang Mo Kio,3.83,Inactive
D00157,Michael Young,Hatchback,Toa Payoh,3.56,Active
D00158,Alexis Mcclure,SUV,Yishun,3.91,Active
D00159,Jessica Davidson,Hatchback,Ang Mo Kio,4.7,Active
D00160,Shane Harris,Premium,Woodlands,3.83,Active
D00161,Andrew Garner,MPV,Ang Mo Kio,4.39,Active
D00162,Lori Berg,Electric,Toa Payoh,4.34,Active
D00163,James Green,Electric,Jurong,4.21,Inactive
D00164,Paul Duncan,Hatchback,Yishun,3.63,Active
D00165,Cheryl Peterson,Electric,Punggol,3.84,Active
D00166,Christina Ramos,Premium,Ang Mo Kio,4.33,Active
D00167,Lisa Harper,Hatchback,Woodlands,4.76,Active
D00168,Sheila Dean,Sedan,Tampines,3.59,Active
D00169,Tristan Smith,SUV,Singapore,4.13,Active
D00170,Mandy Gonzalez,Hatchback,Singapore,3.97,Active
D00171,James Scott,Hatchback,Ang Mo Kio,4.25,Active
D00172,Eric Anthony,MPV,Bedok,4.65,Active
D00173,Charles Cantu,Electric,Jurong,4.73,Active
D00174,Jay Steele,SUV,Tampines,4.14,Active
D00175,Donald Harrell,SUV,Ang Mo Kio,4.81,Active
D00176,Jonathan Hodge,SUV,Ang Mo Kio,3.72,Active
D00177,Margaret Stephens,SUV,Jurong,3.61,Active
D00178,Troy Jackson,SUV,Singapore,3.83,Active
D00179,James Nunez,Sedan,Tampines,3.72,Active
D00180,Edward Davila,Sedan,Tampines,4.2,Inactive
D00181,Kaitlin Schwartz,Sedan,Bedok,4.96,Active
D00182,Nicholas Carlson,SUV,Bishan,4.92,Active
D00183,Ashley Jennings,SUV,Bishan,4.41,Active
D00184,Sonya Jones,Hatchback,Bedok,4.03,Active
D00185,Joshua Smith,Premium,Singapore,4.93,Active
D00186,Michael Sanford,Electric,Yishun,4.72,Active
D00187,Charles James,MPV,Ang Mo Kio,4.94,Active
D00188,Thomas Perez,MPV,Ang Mo Kio,4.94,Active
D00189,Brian Daniel,Hatchback,Punggol,4.25,Active
D00190,Kelly Ingram,Sedan,Woodlands,3.62,Active
D00191,Kristen Cook,MPV,Woodlands,3.71,Active
D00192,Katie Hamilton,Hatchback,Jurong,4.5,Suspended
D00193,Daniel Ward,SUV,Bishan,4.63,Active
D00194,Russell Norris,Premium,Yishun,4.98,Active
D00195,Justin Sullivan,Electric,Jurong,3.74,Inactive
D00196,Heather Berger,Premium,Jurong,4.94,Active
D00197,Jamie Young,MPV,Tampines,4.83,Active
D00198,Ronald Watts,SUV,Singapore,4.12,Active
D00199,Sarah Callahan,Premium,Bedok,4.34,Active
D00200,Michael Freeman,SUV,Singapore,4.13,Active
D00201,Sara Williams,SUV,Tampines,4.32,Active
D00202,Justin Butler,Sedan,Jurong,4.66,Active
D00203,Tony Murphy,Premium,Jurong,4.02,Active
D00204,Stephen Miller MD,Premium,Tampines,4.74,Active
D00205,Aaron Franklin,Premium,Yishun,4.25,Active
D00206,Kathleen Spence,Premium,Ang Mo Kio,4.63,Active
D00207,James Garrett MD,Sedan,Singapore,3.57,Active
D00208,Troy Thomas,MPV,Punggol,4.94,Active
D00209,Erica Moreno,MPV,Bishan,4.74,Active
D00210,Thomas Baxter,Electric,Toa Payoh,3.57,Active
D00211,Cynthia Taylor,Sedan,Ang Mo Kio,4.55,Active
D00212,Leah Scott,MPV,Tampines,4.95,Active
D00213,Catherine Hickman,Hatchback,Punggol,4.0,Active
D00214,Heather Williams,SUV,Jurong,4.66,Active
D00215,Brian Hanson,SUV,Ang Mo Kio,4.66,Active
