driver_id,driver_name,vehicle_type,city,join_date,rating,status
D00001,Tammy Carpenter,Sedan,Tampines,2021-10-01,4.71,Active
D00002,Jordan Simon,Electric,Ang Mo Kio,2019-07-07,3.88,Active
D00003,Brandi Yang,Sedan,Jurong,2025-09-21,3.93,Active
D00004,Raymond Hopkins,MPV,Yishun,2023-12-04,4.27,Active
D00005,Robert Clayton,MPV,Bishan,2025-09-08,4.57,Active
D00006,Henry Stanley,Hatchback,Woodlands,2026-01-03,4.42,Active
D00007,Kendra Franklin,Hatchback,Toa Payoh,2025-09-30,4.7,Active
D00008,Benjamin Russell,Premium,Singapore,2022-06-14,4.93,Active
D00009,Cindy Johnson,Premium,Woodlands,2024-11-04,3.64,Active
D00010,Jamie Obrien,SUV,Ang Mo Kio,2019-12-07,4.08,Active
D00011,Jennifer Dorsey,Hatchback,Singapore,2024-11-03,4.02,Active
D00012,Charles Smith,Electric,Jurong,2018-12-11,3.75,Active
D00013,Jacob Parker,SUV,Toa Payoh,2024-07-15,4.95,Inactive
D00014,Shawn Phillips,Premium,Toa Payoh,2019-08-25,3.93,Inactive
D00015,Aaron Wallace,MPV,Ang Mo Kio,2019-11-03,3.97,Active
D00016,Selena Olson,Premium,Yishun,2020-07-02,3.72,Active
D00017,Diana Hall,Electric,Ang Mo Kio,2023-04-22,3.87,Active
D00018,Kathleen Hammond,Hatchback,Jurong,2023-12-24,4.19,Active
D00019,Tony Lawson,Sedan,Yishun,2023-06-01,4.8,Active
D00020,Taylor Obrien,Premium,Ang Mo Kio,2025-09-08,3.53,Inactive
D00021,Kara Black,Premium,Singapore,2023-11-06,4.98,Active
D00022,Francis Mullins,Premium,Jurong,2019-05-13,4.91,Active
D00023,Ricardo Wheeler,SUV,Woodlands,2026-06-06,3.82,Active
D00024,Katherine Giles,Sedan,Punggol,2019-02-09,3.53,Active
D00025,Kathryn Johnson,Premium,Woodlands,2020-11-30,4.99,Active
D00026,Cindy Hill,MPV,Toa Payoh,2022-07-07,4.14,Active
D00027,Gregory Phelps,MPV,Woodlands,2025-06-30,3.67,Inactive
D00028,Daniel Harris,Sedan,Tampines,2025-02-21,4.94,Inactive
D00029,Laura Green,Electric,Bedok,2023-10-31,4.58,Active
D00030,Craig Blanchard,Electric,Bishan,2021-11-15,4.63,Active
D00031,Timothy Hendrix,Hatchback,Woodlands,2024-01-17,4.78,Active
D00032,James Johnson,SUV,Punggol,2021-08-28,4.32,Active
D00033,Aaron Harris,Sedan,Punggol,2024-06-24,4.43,Active
D00034,Phillip Sanchez,Premium,Tampines,2020-06-18,4.13,Active
D00035,Daniel Richards,Sedan,Toa Payoh,2022-08-29,4.09,Active
D00036,Kristen Clark,Hatchback,Singapore,2020-11-21,4.75,Inactive
D00037,Theresa Johnson,Hatchback,Woodlands,2021-03-29,3.84,Active
D00038,Jessica Webb,Premium,Bedok,2024-03-05,3.56,Active
D00039,Mrs. Cynthia Bowman,MPV,Toa Payoh,2019-06-16,4.75,Active
D00040,Alejandro Christensen,Premium,Woodlands,2020-06-21,4.83,Active
D00041,Christopher Guerrero,Hatchback,Jurong,2022-06-19,4.64,Inactive
